id,dayofweek,fromid,toid,distance,rank
116,1,26,67,79,13
117,1,26,95,84,14
118,1,26,77,95,15
119,1,26,90,98,16
120,1,26,76,100,17
121,1,26,87,101,18
122,1,26,93,101,19
123,1,26,86,102,20
124,1,26,92,102,21
125,1,26,97,103,22
126,1,26,84,105,23
127,1,26,85,105,24
128,1,26,96,106,25
129,1,26,73,111,26
130,1,26,99,114,27
131,1,26,101,117,28
132,1,26,106,134,29
133,1,26,107,136,30
134,1,26,112,156,31
135,1,26,119,167,32
136,1,26,72,217,33
137,1,27,27,0,0
138,1,27,26,1,1
139,1,27,28,2,2
140,1,27,42,2,3
141,1,27,32,4,4
142,1,27,35,7,5
143,1,27,33,9,6
144,1,27,48,11,7
145,1,27,51,16,8
146,1,27,13,21,9
147,1,27,10,30,10
148,1,27,6,32,11
149,1,27,94,72,12
150,1,27,67,80,13
151,1,27,95,83,14
152,1,27,77,94,15
153,1,27,90,97,16
154,1,27,76,99,17
155,1,27,87,100,18
156,1,27,93,100,19
157,1,27,86,101,20
158,1,27,92,101,21
159,1,27,97,102,22
160,1,27,84,104,23
161,1,27,85,105,24
162,1,27,96,106,25
163,1,27,73,110,26
164,1,27,99,113,27
165,1,27,101,116,28
166,1,27,106,133,29
167,1,27,107,135,30
168,1,27,112,155,31
169,1,27,119,167,32
170,1,27,72,217,33
171,1,28,28,0,0
172,1,28,26,1,1
173,1,28,27,2,2
174,1,28,32,2,3
175,1,28,42,2,4
176,1,28,35,6,5
177,1,28,33,9,6
178,1,28,48,12,7
179,1,28,51,18,8
180,1,28,13,20,9
181,1,28,10,30,10
182,1,28,6,32,11
183,1,28,94,73,12
184,1,28,67,79,13
185,1,28,95,84,14
186,1,28,77,95,15
187,1,28,90,98,16
188,1,28,76,100,17
189,1,28,87,101,18
190,1,28,93,101,19
191,1,28,86,102,20
192,1,28,92,103,21
193,1,28,97,104,22
194,1,28,84,106,23
195,1,28,85,106,24
196,1,28,96,107,25
197,1,28,73,112,26
198,1,28,99,114,27
199,1,28,101,117,28
200,1,28,106,135,29
201,1,28,107,137,30
202,1,28,112,157,31
203,1,28,119,168,32
204,1,28,72,216,33
205,1,32,32,0,0
206,1,32,26,2,1
207,1,32,28,2,2
208,1,32,27,4,3
209,1,32,42,4,4
210,1,32,35,7,5
211,1,32,33,10,6
212,1,32,48,14,7
213,1,32,13,18,8
214,1,32,51,20,9
215,1,32,10,33,10
216,1,32,6,36,11
217,1,32,94,75,12
218,1,32,67,79,13
219,1,32,95,86,14
220,1,32,77,97,15
221,1,32,90,100,16
222,1,32,76,102,17
223,1,32,87,103,18
224,1,32,93,103,19
225,1,32,86,104,20
226,1,32,92,105,21
227,1,32,97,106,22
228,1,32,84,108,23
229,1,32,85,108,24
230,1,32,96,109,25
231,1,32,73,113,26
232,1,32,99,116,27
233,1,32,101,119,28
234,1,32,106,136,29
235,1,32,107,139,30
236,1,32,112,159,31
237,1,32,119,170,32
238,1,32,72,215,33
239,1,33,33,0,0
240,1,33,35,6,1
241,1,33,26,9,2
242,1,33,27,9,3
243,1,33,28,9,4
244,1,33,48,9,5
245,1,33,32,10,6
246,1,33,42,10,7
247,1,33,51,13,8
248,1,33,13,25,9
249,1,33,10,27,10
250,1,33,6,29,11
251,1,33,94,69,12
252,1,33,95,80,13
253,1,33,77,91,14
254,1,33,97,93,15
255,1,33,90,94,16
256,1,33,96,96,17
257,1,33,76,97,18
258,1,33,87,97,19
259,1,33,93,97,20
260,1,33,86,98,21
261,1,33,67,99,22
262,1,33,92,99,23
263,1,33,84,102,24
264,1,33,85,102,25
265,1,33,73,108,26
266,1,33,99,110,27
267,1,33,101,113,28
268,1,33,106,131,29
269,1,33,107,133,30
270,1,33,112,153,31
271,1,33,119,164,32
272,1,33,72,229,33
273,1,35,35,0,0
274,1,35,28,6,1
275,1,35,33,6,2
276,1,35,48,6,3
277,1,35,27,7,4
278,1,35,32,7,5
279,1,35,26,8,6
280,1,35,42,8,7
281,1,35,51,11,8
282,1,35,10,24,9
283,1,35,13,24,10
284,1,35,6,27,11
285,1,35,94,67,12
286,1,35,95,77,13
287,1,35,67,85,14
288,1,35,77,89,15
289,1,35,90,92,16
290,1,35,76,94,17
291,1,35,87,95,18
292,1,35,93,95,19
293,1,35,86,96,20
294,1,35,92,96,21
295,1,35,84,99,22
296,1,35,85,99,23
297,1,35,97,100,24
298,1,35,96,103,25
299,1,35,73,105,26
300,1,35,99,108,27
301,1,35,101,110,28
302,1,35,106,128,29
303,1,35,107,130,30
304,1,35,112,150,31
305,1,35,119,161,32
306,1,35,72,223,33
307,1,42,42,0,0
308,1,42,26,2,1
309,1,42,27,2,2
310,1,42,28,2,3
311,1,42,32,4,4
312,1,42,35,8,5
313,1,42,33,10,6
314,1,42,48,12,7
315,1,42,51,17,8
316,1,42,13,22,9
317,1,42,10,31,10
318,1,42,6,34,11
319,1,42,94,73,12
320,1,42,67,81,13
321,1,42,95,84,14
322,1,42,77,95,15
323,1,42,90,98,16
324,1,42,76,100,17
325,1,42,87,101,18
326,1,42,93,101,19
327,1,42,86,102,20
328,1,42,92,102,21
329,1,42,97,103,22
330,1,42,84,105,23
331,1,42,85,106,24
332,1,42,96,106,25
333,1,42,73,111,26
334,1,42,99,114,27
335,1,42,101,117,28
336,1,42,106,134,29
337,1,42,107,136,30
338,1,42,112,156,31
339,1,42,119,168,32
340,1,42,72,217,33
341,1,48,48,0,0
342,1,48,51,5,1
343,1,48,35,6,2
344,1,48,33,9,3
345,1,48,27,11,4
346,1,48,26,12,5
347,1,48,28,12,6
348,1,48,42,12,7
349,1,48,32,14,8
350,1,48,13,19,9
351,1,48,10,20,10
352,1,48,6,22,11
353,1,48,94,62,12
354,1,48,95,73,13
355,1,48,77,84,14
356,1,48,90,87,15
357,1,48,76,90,16
358,1,48,87,90,17
359,1,48,93,90,18
360,1,48,67,91,19
361,1,48,86,91,20
362,1,48,92,92,21
363,1,48,84,95,22
364,1,48,85,95,23
365,1,48,97,99,24
366,1,48,73,101,25
367,1,48,96,102,26
368,1,48,99,103,27
369,1,48,101,106,28
370,1,48,106,124,29
371,1,48,107,126,30
372,1,48,112,146,31
373,1,48,119,157,32
374,1,48,72,221,33
375,1,51,51,0,0
376,1,51,48,5,1
377,1,51,35,11,2
378,1,51,10,13,3
379,1,51,33,13,4
380,1,51,27,16,5
381,1,51,13,17,6
382,1,51,26,17,7
383,1,51,42,17,8
384,1,51,28,18,9
385,1,51,32,20,10
386,1,51,6,25,11
387,1,51,94,64,12
388,1,51,95,75,13
389,1,51,77,86,14
390,1,51,90,89,15
391,1,51,67,90,16
392,1,51,76,91,17
393,1,51,87,92,18
394,1,51,93,92,19
395,1,51,86,93,20
396,1,51,92,94,21
397,1,51,84,97,22
398,1,51,85,97,23
399,1,51,97,102,24
400,1,51,73,103,25
401,1,51,96,105,26
402,1,51,99,105,27
403,1,51,101,108,28
404,1,51,106,125,29
405,1,51,107,128,30
406,1,51,112,148,31
407,1,51,119,159,32
408,1,51,72,220,33
409,1,67,67,0,0
410,1,67,13,77,1
411,1,67,26,79,2
412,1,67,28,79,3
413,1,67,32,79,4
414,1,67,27,80,5
415,1,67,42,81,6
416,1,67,35,85,7
417,1,67,51,90,8
418,1,67,48,91,9
419,1,67,33,99,10
420,1,67,10,100,11
421,1,67,6,105,12
422,1,67,94,150,13
423,1,67,95,163,14
424,1,67,77,174,15
425,1,67,90,177,16
426,1,67,76,179,17
427,1,67,87,180,18
428,1,67,93,180,19
429,1,67,86,181,20
430,1,67,92,181,21
431,1,67,84,184,22
432,1,67,85,185,23
433,1,67,73,190,24
434,1,67,96,190,25
435,1,67,99,191,26
436,1,67,97,194,27
437,1,67,101,196,28
438,1,67,72,211,29
439,1,67,106,213,30
440,1,67,107,215,31
441,1,67,112,235,32
442,1,67,119,247,33
443,1,72,72,0,0
444,1,72,13,205,1
445,1,72,67,211,2
446,1,72,32,215,3
447,1,72,28,216,4
448,1,72,26,217,5
449,1,72,27,217,6
450,1,72,42,217,7
451,1,72,51,220,8
452,1,72,48,221,9
453,1,72,35,223,10
454,1,72,85,224,11
455,1,72,10,228,12
456,1,72,84,228,13
457,1,72,33,229,14
458,1,72,6,233,15
459,1,72,87,235,16
460,1,72,86,236,17
461,1,72,90,236,18
462,1,72,92,236,19
463,1,72,93,236,20
464,1,72,76,243,21
465,1,72,73,245,22
466,1,72,77,247,23
467,1,72,101,252,24
468,1,72,95,256,25
469,1,72,99,261,26
470,1,72,94,268,27
471,1,72,106,270,28
472,1,72,107,270,29
473,1,72,96,285,30
474,1,72,97,289,31
475,1,72,112,292,32
476,1,72,119,303,33
477,1,73,73,0,0
478,1,73,87,10,1
479,1,73,92,10,2
480,1,73,86,11,3
481,1,73,93,11,4
482,1,73,90,14,5
483,1,73,76,20,6
484,1,73,84,20,7
485,1,73,101,22,8
486,1,73,77,24,9
487,1,73,85,25,10
488,1,73,107,30,11
489,1,73,106,35,12
490,1,73,95,36,13
491,1,73,99,37,14
492,1,73,112,57,15
493,1,73,94,60,16
494,1,73,96,60,17
495,1,73,97,64,18
496,1,73,119,68,19
497,1,73,6,81,20
498,1,73,10,90,21
499,1,73,48,101,22
500,1,73,51,103,23
501,1,73,35,105,24
502,1,73,33,108,25
503,1,73,27,110,26
504,1,73,26,111,27
505,1,73,42,111,28
506,1,73,28,112,29
507,1,73,32,113,30
508,1,73,13,116,31
509,1,73,67,190,32
510,1,73,72,245,33
511,1,76,76,0,0
512,1,76,77,6,1
513,1,76,90,6,2
514,1,76,87,8,3
515,1,76,93,8,4
516,1,76,86,9,5
517,1,76,92,10,6
518,1,76,84,15,7
519,1,76,95,17,8
520,1,76,73,20,9
521,1,76,85,21,10
522,1,76,99,23,11
523,1,76,101,24,12
524,1,76,94,41,13
525,1,76,106,42,14
526,1,76,107,44,15
527,1,76,96,48,16
528,1,76,97,52,17
529,1,76,112,64,18
530,1,76,6,70,19
531,1,76,119,75,20
532,1,76,10,79,21
533,1,76,48,90,22
534,1,76,51,91,23
535,1,76,35,94,24
536,1,76,33,97,25
537,1,76,27,99,26
538,1,76,26,100,27
539,1,76,28,100,28
540,1,76,42,100,29
541,1,76,32,102,30
542,1,76,13,105,31
543,1,76,67,179,32
544,1,76,72,243,33
545,1,77,77,0,0
546,1,77,76,6,1
547,1,77,90,12,2
548,1,77,87,14,3
549,1,77,93,14,4
550,1,77,95,14,5
551,1,77,86,15,6
552,1,77,92,16,7
553,1,77,99,18,8
554,1,77,84,21,9
555,1,77,73,24,10
556,1,77,85,26,11
557,1,77,101,30,12
558,1,77,96,35,13
559,1,77,94,38,14
560,1,77,97,39,15
561,1,77,106,47,16
562,1,77,107,50,17
563,1,77,6,64,18
564,1,77,112,70,19
565,1,77,10,74,20
566,1,77,119,81,21
567,1,77,48,84,22
568,1,77,51,86,23
569,1,77,35,89,24
570,1,77,33,91,25
571,1,77,27,94,26
572,1,77,26,95,27
573,1,77,28,95,28
574,1,77,42,95,29
575,1,77,32,97,30
576,1,77,13,100,31
577,1,77,67,174,32
578,1,77,72,247,33
579,1,84,84,0,0
580,1,84,85,5,1
581,1,84,87,9,2
582,1,84,92,10,3
583,1,84,93,10,4
584,1,84,86,11,5
585,1,84,90,11,6
586,1,84,76,15,7
587,1,84,73,20,8
588,1,84,77,21,9
589,1,84,101,27,10
590,1,84,95,31,11
591,1,84,99,35,12
592,1,84,106,44,13
593,1,84,107,44,14
594,1,84,94,54,15
595,1,84,96,59,16
596,1,84,97,63,17
597,1,84,112,66,18
598,1,84,6,75,19
599,1,84,119,77,20
600,1,84,10,84,21
601,1,84,48,95,22
602,1,84,51,97,23
603,1,84,35,99,24
604,1,84,33,102,25
605,1,84,27,104,26
606,1,84,26,105,27
607,1,84,42,105,28
608,1,84,28,106,29
609,1,84,32,108,30
610,1,84,13,110,31
611,1,84,67,184,32
612,1,84,72,228,33
613,1,85,85,0,0
614,1,85,84,5,1
615,1,85,87,14,2
616,1,85,86,15,3
617,1,85,92,15,4
618,1,85,93,15,5
619,1,85,90,16,6
620,1,85,76,21,7
621,1,85,73,25,8
622,1,85,77,26,9
623,1,85,101,31,10
624,1,85,95,36,11
625,1,85,99,40,12
626,1,85,106,49,13
627,1,85,107,49,14
628,1,85,94,59,15
629,1,85,96,64,16
630,1,85,97,68,17
631,1,85,112,71,18
632,1,85,6,75,19
633,1,85,119,82,20
634,1,85,10,85,21
635,1,85,48,95,22
636,1,85,51,97,23
637,1,85,35,99,24
638,1,85,33,102,25
639,1,85,26,105,26
640,1,85,27,105,27
641,1,85,28,106,28
642,1,85,42,106,29
643,1,85,32,108,30
644,1,85,13,110,31
645,1,85,67,185,32
646,1,85,72,224,33
647,1,86,86,0,0
648,1,86,87,1,1
649,1,86,93,1,2
650,1,86,92,2,3
651,1,86,90,4,4
652,1,86,76,9,5
653,1,86,73,11,6
654,1,86,84,11,7
655,1,86,77,15,8
656,1,86,85,15,9
657,1,86,101,19,10
658,1,86,95,27,11
659,1,86,99,28,12
660,1,86,106,36,13
661,1,86,107,36,14
662,1,86,94,50,15
663,1,86,96,52,16
664,1,86,97,56,17
665,1,86,112,58,18
666,1,86,119,69,19
667,1,86,6,72,20
668,1,86,10,81,21
669,1,86,48,91,22
670,1,86,51,93,23
671,1,86,35,96,24
672,1,86,33,98,25
673,1,86,27,101,26
674,1,86,26,102,27
675,1,86,28,102,28
676,1,86,42,102,29
677,1,86,32,104,30
678,1,86,13,107,31
679,1,86,67,181,32
680,1,86,72,236,33
681,1,87,87,0,0
682,1,87,86,1,1
683,1,87,92,1,2
684,1,87,93,1,3
685,1,87,90,3,4
686,1,87,76,8,5
687,1,87,84,9,6
688,1,87,73,10,7
689,1,87,77,14,8
690,1,87,85,14,9
691,1,87,101,18,10
692,1,87,95,26,11
693,1,87,99,27,12
694,1,87,107,35,13
695,1,87,106,36,14
696,1,87,94,49,15
697,1,87,96,51,16
698,1,87,97,55,17
699,1,87,112,58,18
700,1,87,119,69,19
701,1,87,6,71,20
702,1,87,10,80,21
703,1,87,48,90,22
704,1,87,51,92,23
705,1,87,35,95,24
706,1,87,33,97,25
707,1,87,27,100,26
708,1,87,26,101,27
709,1,87,28,101,28
710,1,87,42,101,29
711,1,87,32,103,30
712,1,87,13,106,31
713,1,87,67,180,32
714,1,87,72,235,33
715,1,90,90,0,0
716,1,90,87,3,1
717,1,90,86,4,2
718,1,90,93,4,3
719,1,90,92,5,4
720,1,90,76,6,5
721,1,90,84,11,6
722,1,90,77,12,7
723,1,90,73,14,8
724,1,90,85,16,9
725,1,90,101,20,10
726,1,90,95,24,11
727,1,90,99,28,12
728,1,90,106,37,13
729,1,90,107,39,14
730,1,90,94,48,15
731,1,90,96,53,16
732,1,90,97,57,17
733,1,90,112,59,18
734,1,90,6,68,19
735,1,90,119,70,20
736,1,90,10,77,21
737,1,90,48,87,22
738,1,90,51,89,23
739,1,90,35,92,24
740,1,90,33,94,25
741,1,90,27,97,26
742,1,90,26,98,27
743,1,90,28,98,28
744,1,90,42,98,29
745,1,90,32,100,30
746,1,90,13,103,31
747,1,90,67,177,32
748,1,90,72,236,33
749,1,92,92,0,0
750,1,92,87,1,1
751,1,92,93,1,2
752,1,92,86,2,3
753,1,92,90,5,4
754,1,92,73,10,5
755,1,92,76,10,6
756,1,92,84,10,7
757,1,92,85,15,8
758,1,92,77,16,9
759,1,92,101,19,10
760,1,92,95,27,11
761,1,92,99,28,12
762,1,92,107,35,13
763,1,92,106,37,14
764,1,92,94,50,15
765,1,92,96,52,16
766,1,92,97,56,17
767,1,92,112,59,18
768,1,92,119,70,19
769,1,92,6,72,20
770,1,92,10,81,21
771,1,92,48,92,22
772,1,92,51,94,23
773,1,92,35,96,24
774,1,92,33,99,25
775,1,92,27,101,26
776,1,92,26,102,27
777,1,92,42,102,28
778,1,92,28,103,29
779,1,92,32,105,30
780,1,92,13,107,31
781,1,92,67,181,32
782,1,92,72,236,33
783,1,93,93,0,0
784,1,93,86,1,1
785,1,93,87,1,2
786,1,93,92,1,3
787,1,93,90,4,4
788,1,93,76,8,5
789,1,93,84,10,6
790,1,93,73,11,7
791,1,93,77,14,8
792,1,93,85,15,9
793,1,93,101,18,10
794,1,93,95,26,11
795,1,93,99,27,12
796,1,93,106,35,13
797,1,93,107,37,14
798,1,93,94,49,15
799,1,93,96,51,16
800,1,93,97,55,17
801,1,93,112,57,18
802,1,93,119,69,19
803,1,93,6,71,20
804,1,93,10,80,21
805,1,93,48,90,22
806,1,93,51,92,23
807,1,93,35,95,24
808,1,93,33,97,25
809,1,93,27,100,26
810,1,93,26,101,27
811,1,93,28,101,28
812,1,93,42,101,29
813,1,93,32,103,30
814,1,93,13,106,31
815,1,93,67,180,32
816,1,93,72,236,33
817,1,94,94,0,0
818,1,94,95,26,1
819,1,94,77,38,2
820,1,94,76,41,3
821,1,94,6,42,4
822,1,94,96,46,5
823,1,94,99,47,6
824,1,94,90,48,7
825,1,94,87,49,8
826,1,94,93,49,9
827,1,94,86,50,10
828,1,94,92,50,11
829,1,94,97,50,12
830,1,94,10,51,13
831,1,94,84,54,14
832,1,94,85,59,15
833,1,94,73,60,16
834,1,94,48,62,17
835,1,94,51,64,18
836,1,94,101,65,19
837,1,94,35,67,20
838,1,94,33,69,21
839,1,94,27,72,22
840,1,94,26,73,23
841,1,94,28,73,24
842,1,94,42,73,25
843,1,94,32,75,26
844,1,94,13,77,27
845,1,94,106,90,28
846,1,94,107,98,29
847,1,94,112,111,30
848,1,94,119,122,31
849,1,94,67,150,32
850,1,94,72,268,33
851,1,95,95,0,0
852,1,95,77,14,1
853,1,95,76,17,2
854,1,95,90,24,3
855,1,95,87,26,4
856,1,95,93,26,5
857,1,95,94,26,6
858,1,95,99,26,7
859,1,95,86,27,8
860,1,95,92,27,9
861,1,95,84,31,10
862,1,95,73,36,11
863,1,95,85,36,12
864,1,95,96,36,13
865,1,95,97,40,14
866,1,95,101,40,15
867,1,95,6,53,16
868,1,95,106,58,17
869,1,95,107,60,18
870,1,95,10,63,19
871,1,95,48,73,20
872,1,95,51,75,21
873,1,95,35,77,22
874,1,95,33,80,23
875,1,95,112,80,24
876,1,95,27,83,25
877,1,95,26,84,26
878,1,95,28,84,27
879,1,95,42,84,28
880,1,95,32,86,29
881,1,95,13,89,30
882,1,95,119,91,31
883,1,95,67,163,32
884,1,95,72,256,33
885,1,96,96,0,0
886,1,96,97,5,1
887,1,96,99,24,2
888,1,96,77,35,3
889,1,96,95,36,4
890,1,96,101,39,5
891,1,96,94,46,6
892,1,96,76,48,7
893,1,96,106,50,8
894,1,96,87,51,9
895,1,96,93,51,10
896,1,96,86,52,11
897,1,96,92,52,12
898,1,96,90,53,13
899,1,96,107,58,14
900,1,96,84,59,15
901,1,96,73,60,16
902,1,96,85,64,17
903,1,96,112,71,18
904,1,96,6,82,19
905,1,96,119,82,20
906,1,96,10,91,21
907,1,96,33,96,22
908,1,96,48,102,23
909,1,96,35,103,24
910,1,96,51,105,25
911,1,96,26,106,26
912,1,96,27,106,27
913,1,96,42,106,28
914,1,96,28,107,29
915,1,96,32,109,30
916,1,96,13,117,31
917,1,96,67,190,32
918,1,96,72,285,33
919,1,97,97,0,0
920,1,97,96,5,1
921,1,97,99,28,2
922,1,97,77,39,3
923,1,97,95,40,4
924,1,97,101,43,5
925,1,97,94,50,6
926,1,97,76,52,7
927,1,97,106,54,8
928,1,97,87,55,9
929,1,97,93,55,10
930,1,97,86,56,11
931,1,97,92,56,12
932,1,97,90,57,13
933,1,97,107,62,14
934,1,97,84,63,15
935,1,97,73,64,16
936,1,97,85,68,17
937,1,97,112,75,18
938,1,97,119,86,19
939,1,97,6,87,20
940,1,97,33,93,21
941,1,97,10,95,22
942,1,97,48,99,23
943,1,97,35,100,24
944,1,97,27,102,25
945,1,97,51,102,26
946,1,97,26,103,27
947,1,97,42,103,28
948,1,97,28,104,29
949,1,97,32,106,30
950,1,97,13,116,31
951,1,97,67,194,32
952,1,97,72,289,33
953,1,99,99,0,0
954,1,99,77,18,1
955,1,99,101,20,2
956,1,99,76,23,3
957,1,99,96,24,4
958,1,99,95,26,5
959,1,99,87,27,6
960,1,99,93,27,7
961,1,99,86,28,8
962,1,99,90,28,9
963,1,99,92,28,10
964,1,99,97,28,11
965,1,99,84,35,12
966,1,99,73,37,13
967,1,99,85,40,14
968,1,99,94,47,15
969,1,99,106,56,16
970,1,99,107,58,17
971,1,99,112,78,18
972,1,99,6,84,19
973,1,99,119,89,20
974,1,99,10,92,21
975,1,99,48,103,22
976,1,99,51,105,23
977,1,99,35,108,24
978,1,99,33,110,25
979,1,99,27,113,26
980,1,99,26,114,27
981,1,99,28,114,28
982,1,99,42,114,29
983,1,99,32,116,30
984,1,99,13,118,31
985,1,99,67,191,32
986,1,99,72,261,33
987,1,101,101,0,0
988,1,101,87,18,1
989,1,101,93,18,2
990,1,101,86,19,3
991,1,101,92,19,4
992,1,101,90,20,5
993,1,101,99,20,6
994,1,101,73,22,7
995,1,101,106,23,8
996,1,101,76,24,9
997,1,101,84,27,10
998,1,101,107,27,11
999,1,101,77,30,12
1000,1,101,85,31,13
1001,1,101,96,39,14
1002,1,101,95,40,15
1003,1,101,97,43,16
1004,1,101,112,54,17
1005,1,101,94,65,18
1006,1,101,119,65,19
1007,1,101,6,86,20
1008,1,101,10,96,21
1009,1,101,48,106,22
1010,1,101,51,108,23
1011,1,101,35,110,24
1012,1,101,33,113,25
1013,1,101,27,116,26
1014,1,101,26,117,27
1015,1,101,28,117,28
1016,1,101,42,117,29
1017,1,101,32,119,30
1018,1,101,13,122,31
1019,1,101,67,196,32
1020,1,101,72,252,33
1021,1,106,106,0,0
1022,1,106,107,14,1
1023,1,106,101,23,2
1024,1,106,112,27,3
1025,1,106,73,35,4
1026,1,106,93,35,5
1027,1,106,86,36,6
1028,1,106,87,36,7
1029,1,106,90,37,8
1030,1,106,92,37,9
1031,1,106,119,38,10
1032,1,106,76,42,11
1033,1,106,84,44,12
1034,1,106,77,47,13
1035,1,106,85,49,14
1036,1,106,96,50,15
1037,1,106,97,54,16
1038,1,106,99,56,17
1039,1,106,95,58,18
1040,1,106,94,90,19
1041,1,106,6,104,20
1042,1,106,10,113,21
1043,1,106,48,124,22
1044,1,106,51,125,23
1045,1,106,35,128,24
1046,1,106,33,131,25
1047,1,106,27,133,26
1048,1,106,26,134,27
1049,1,106,42,134,28
1050,1,106,28,135,29
1051,1,106,32,136,30
1052,1,106,13,139,31
1053,1,106,67,213,32
1054,1,106,72,270,33
1055,1,107,107,0,0
1056,1,107,106,14,1
1057,1,107,101,27,2
1058,1,107,112,28,3
1059,1,107,73,30,4
1060,1,107,87,35,5
1061,1,107,92,35,6
1062,1,107,86,36,7
1063,1,107,93,37,8
1064,1,107,90,39,9
1065,1,107,119,39,10
1066,1,107,76,44,11
1067,1,107,84,44,12
1068,1,107,85,49,13
1069,1,107,77,50,14
1070,1,107,96,58,15
1071,1,107,99,58,16
1072,1,107,95,60,17
1073,1,107,97,62,18
1074,1,107,94,98,19
1075,1,107,6,106,20
1076,1,107,10,115,21
1077,1,107,48,126,22
1078,1,107,51,128,23
1079,1,107,35,130,24
1080,1,107,33,133,25
1081,1,107,27,135,26
1082,1,107,26,136,27
1083,1,107,42,136,28
1084,1,107,28,137,29
1085,1,107,32,139,30
1086,1,107,13,141,31
1087,1,107,67,215,32
1088,1,107,72,270,33
1089,1,112,112,0,0
1090,1,112,119,14,1
1091,1,112,106,27,2
1092,1,112,107,28,3
1093,1,112,101,54,4
1094,1,112,73,57,5
1095,1,112,93,57,6
1096,1,112,86,58,7
1097,1,112,87,58,8
1098,1,112,90,59,9
1099,1,112,92,59,10
1100,1,112,76,64,11
1101,1,112,84,66,12
1102,1,112,77,70,13
1103,1,112,85,71,14
1104,1,112,96,71,15
1105,1,112,97,75,16
1106,1,112,99,78,17
1107,1,112,95,80,18
1108,1,112,94,111,19
1109,1,112,6,126,20
1110,1,112,10,135,21
1111,1,112,48,146,22
1112,1,112,51,148,23
1113,1,112,35,150,24
1114,1,112,33,153,25
1115,1,112,27,155,26
1116,1,112,26,156,27
1117,1,112,42,156,28
1118,1,112,28,157,29
1119,1,112,32,159,30
1120,1,112,13,161,31
1121,1,112,67,235,32
1122,1,112,72,292,33
1123,1,119,119,0,0
1124,1,119,112,14,1
1125,1,119,106,38,2
1126,1,119,107,39,3
1127,1,119,101,65,4
1128,1,119,73,68,5
1129,1,119,86,69,6
1130,1,119,87,69,7
1131,1,119,93,69,8
1132,1,119,90,70,9
1133,1,119,92,70,10
1134,1,119,76,75,11
1135,1,119,84,77,12
1136,1,119,77,81,13
1137,1,119,85,82,14
1138,1,119,96,82,15
1139,1,119,97,86,16
1140,1,119,99,89,17
1141,1,119,95,91,18
1142,1,119,94,122,19
1143,1,119,6,137,20
1144,1,119,10,147,21
1145,1,119,48,157,22
1146,1,119,51,159,23
1147,1,119,35,161,24
1148,1,119,33,164,25
1149,1,119,26,167,26
1150,1,119,27,167,27
